⚠️ Community-submitted results. No independent verification is performed. Scores are self-reported and may be inaccurate. Use at your own risk.,,,,,,,,,,,,
Rank,Release Date,Result Source,Model Type,Open?,Model Size,Model,"Screen
Representation","Success Rate
(pass@1)","Number
of trials","Success Rate
(pass@k)","Trajectory
submissions",Note
1,08/2026,FluizAI,AI agent,✗,-,gpt-4o / gpt-5.6-sol,Screenshot + A11y tree,100,1,,https://android-world.fluiz.ai/,Code is not open-sourced yet.
2,08/2026,Artemis,AI agent,✔,-,"Gemini 3.7 Flash, Gemini Robotics ER 2",Screenshot + A11y tree,99.1,1,,,Open-source project available at https://github.com/google/artemis 
3,10/2025,AGI-0,AI agent,✗,-,AGI-0,Screenshot,97.4,1,,n/a,"10/14/2025. Changed from model --> agent, based on description in blog post. https://www.theagi.company/blog/android-world"
3,02/2026,MobileUseAgent,AI agent,✔,-,Seed1.8-GUI,Screenshot,97.4,1,,,
3,3/2026,Finalrun,AI agent,✔,-,"Gemini 3 flash, Gemini 3 flash lite",Screenshot + A11y tree,97.4,1,,https://drive.google.com/file/d/1NITEkiYb3itSq46I8BYsmzefEddzYbqm/view?usp=sharing,"04/2026: Project is open-source at https://github.com/final-run/finalrun-agent
03/2026: Updated results: https://blogs.finalrun.app/finalrun-achieves-the-new-1-sota-mobile-agent-eclipsing-benchmarks-at-97-4
08/2025: The technical doc/approach can be found here: https://github.com/final-run/finalrun-android-world-benchmark"
6,10/2025,askui AndroidVisionAgent,AI agent,✔,-,"askui AndroidVisionAgent, Claude 4.5 Sonnet + Claude 4.0 Sonnet",Screenshot,94.8,1,,n/a,
6,01/2026,AutoDevice,AI agent,✔,-,gemini 3 pro + sonnet 4.5,Screenshot,94.8,1,,https://autodevice.io/benchmark/,Agent code is available on https://github.com/autodevice/android_world
8,06/2026,Midscene.js,AI agent,✔,-,Gemini-3.5-Flash,Screenshot,93.1,1,"pass@2 95.69, pass@3 97.41",Trajectory submissions: https://midscenejs.com/android-world-benchmark-report,
9,10/2025,DroidRun,AI agent,✔,-,"GPT5, Gemini 2.5 Pro",Screenshot + A11y tree,91.4,1,,Trajectories,"[10/6/2025]: 78.4 --> 91.4; details here
[09/19/2025]: Updated score from 63.0 --> 78.4. For this run, we used GPT-5 for reasoning in combination with Gemini-2.5-Pro for acting, while continuing to rely on a hybrid method of the Accessibility (A11y) tree plus corresponding screenshots to provide both structural and visual context to the agent.

"
9,9/2025,mobile-use,AI agent,✔,-,"Llama 4-scout, Gemini 2.5 pro, GPT-5 nano",Screenshot + A11y tree,91.4,1,,https://minitap.ai/benchmark,"[12/16/2025] 84.5% -> 91.4%
[10/1/2025]: 77.6% -> 84.5%
[09/12/2025]: Updated score from 74.1% --> 77.6%
[08/19/2025]: Initial trajectory labeling issue (MarkorCreateNoteFromClipboard) has been corrected by the authors. They provide Discord support for setup issues.
[08/18/2025]: Repo has been reported broken by some users (not independently verified). Some trajectories (e.g., MarkorCreateNoteFromClipboard, BrowserMaze) are labeled as successful by the authors but contain incorrect actions"
11,12/2025,Agent-Visco,AI agent,✗,-,-,Screenshot,88.8,1,,https://work.aliyun.com/alimail/openLinks/downloadMimeMetaDiskBigAttach?id=netdiskid%3Av001%3Afile%3ADzzzzzzNqZy%3BG8EhE7UV7U9nk2t2O6opysa%2BgRf5Zm6eTqXqtVApm1nDD8W%2BxnLAgdDsJsOSlxfXTx44NU7qRM%2BkJMuIA0smltxGWspXGX2Ox228yqp07rNX%2FIm2QehcGJBgHwUs0f81cz2sX76WNxvxnhpZnqmxiYxHNHRd2hybrPLi2DRQ8bM5ORhI%2BtGG%2B7n%2BcxdY1Ji0,Research paper and codes will be open-source in early months.
12,10/2025,Surfer 2,AI agent,✗,-,o3 + holo1.5-72b,Screenshot,87.1,1,pass@3 93.1,https://hcompai.github.io/android-world-traces/,"Agent is based on https://github.com/hcompai/surfer-h-cli - same architecture, but with modifications to prompt and action space"
13,10/2025,gbox.ai,AI agent,✔,-,Sonnet 4.5 + Sonnet 4,Screenshot,86.2,1,,https://github.com/babelcloud/android_world_benchmark/tree/main/GBOX/trajectory,GBOX uses Claude code as the agent with GBOX mcp. Link to report -> https://github.com/babelcloud/android_world_benchmark/blob/main/GBOX/report.md
14,8/2025,AutoGLM-Mobile,Model,✗,9B,AutoGLM-Mobile,Screenshot + A11y tree,80.2,1,,autoglm-mobile-aw-ckpt.zip,"[9/26/2025]: Updated score from 75.8 --> 80.2 This is an updated version of AutoGLM-Mobile. In this version, we added more pretraining data and trained the VLM at full image resolution."
15,9/2025,LX-GUIAgent,AI agent,✗,-,LX-GUIAgent,Screenshot + A11y tree,79.3,1,,androidworld-trajectories.zip,[9/23/2025]: Updated score from 75.0 --> 79.3. Added trajectories.
16,12/2025,AgentProg,AI agent,✔,-,Gemini-2.5-Pro+UI-TARS-1.5,Screenshot,78.0,1,,AgentProg_AndroidWorld.zip,Paper: https://arxiv.org/pdf/2512.10371; Code: https://github.com/MobileLLM/AgentProg
17,9/2025,K²-Agent,AI agent,✗,72B + 7B,Qwen2.5-VL-72B + Qwen2.5-VL-7B,Screenshot,76.7,1,,https://github.com/k2-agent/k2-agent/blob/main/androidworld-trajectories.zip,"K²-Agent, a hierarchical approach that self-evolves a Qwen2.5-VL-72B for high-level planning and post-trains a Qwen2.5-VL-7B for low-level execution.
Our GitHub repository, which contains a detailed description of our approach, can be found here: https://github.com/k2-agent/k2-agent."
17,1/2026,MAI-UI,Model,✗,235B,MAI-UI-235B-A22B,Screenshot,76.7,,,,
19,9/2025,MobileUse-v2,AI agent,✔,32B,Hammer-UI-32B,Screenshot,75.0,1,,MobileUse-v2-aw-ckpt.zip,Make further post-training based on the GUI-Owl-32b model. Optimize the memory and knowledge module of the MobileUse framework.
20,8/2025,Mobile-Agent-v3,AI agent,✗,32B,GUI-Owl-32B,Screenshot,73.3,1,,,https://github.com/X-PLUG/MobileAgent/tree/main
20,1/2026,MAI-UI,Model,✗,32B,MAI-UI-32B,Screenshot,73.3,,,,
22,1/2026,MAI-UI,Model,✔,8B,MAI-UI-8B,Screenshot,70.7,,,,
23,10/2025,Gemini 2.5 Computer Use ,Model,✗,-,Gemini 2.5 Computer Use ,Screenshot,69.7,1,,,
24,6/2025,JT-GUIAgent-V2,AI agent,✗,-,JT-GUIAgent-V2,Screenshot,67.2,1,,,
25,8/2025,GUI-Owl-7B,Model,✗,7B,GUI-Owl-7B,Screenshot,66.4,1,,,https://github.com/X-PLUG/MobileAgent/tree/main
