Models,Data Source,Model Size(B),Overall,Biology,Business,Chemistry,Computer Science,Economics,Engineering,Health,History,Law,Math,Philosophy,Physics,Psychology,Other
GPT-4o (2024-05-13),TIGER-Lab,unk,0.7255,0.8675,0.7858,0.7393,0.7829,0.808,0.55,0.7212,0.7007,0.5104,0.7609,0.7014,0.7467,0.7919,0.7748
Gemini-1.5-Pro,Self-Reported,unk,0.6903,0.8466,0.7288,0.7032,0.7293,0.7844,0.4871,0.7274,0.6562,0.5077,0.7276,0.6172,0.7036,0.7720,0.7251
Claude-3-Opus,TIGER-Lab,unk,0.6845,0.8507,0.7338,0.693,0.6902,0.798,0.484,0.6845,0.6141,0.5349,0.6957,0.6352,0.6966,0.7631,0.6991
Gemini-1.5-Flash,TIGER-Lab,unk,0.5912,0.8131,0.667,0.613,0.5951,0.6943,0.4416,0.6039,0.538,0.3732,0.5958,0.4949,0.612,0.7005,0.58
Llama-3-70B-Instruct,TIGER-Lab,70,0.562,0.7812,0.6018,0.4681,0.6053,0.6841,0.4362,0.6533,0.5692,0.3991,0.5402,0.5499,0.4962,0.7017,0.5924
Claude-3-Sonnet,TIGER-Lab,unk,0.568,0.768,0.657,0.5291,0.59,0.709,0.4045,0.6332,0.5721,0.427,0.49,0.513,0.5311,0.7218,0.594
Deepseek-V2-Chat,TIGER-Lab,236,0.5481,0.6625,0.6375,0.5415,0.5171,0.6363,0.3189,0.5825,0.4528,0.4064,0.5366,0.5492,0.5396,0.6621,0.6299
Llama-3-70B,TIGER-Lab,70,0.5278,0.749,0.4994,0.417,0.5512,0.6528,0.3498,0.6174,0.5774,0.3497,0.4967,0.5691,0.4981,0.7143,0.5942
Llama-3-8B-Instruct,TIGER-Lab,8,0.4098,0.6653,0.4043,0.28,0.4244,0.5355,0.3127,0.4902,0.4226,0.2652,0.3605,0.4048,0.3441,0.594,0.46
Llama-3-8B,TIGER-Lab,8,0.3536,0.5649,0.3207,0.2482,0.3366,0.4668,0.2549,0.4328,0.3622,0.1962,0.3042,0.4048,0.3141,0.5326,0.4145
Yi-1.5-34B-Chat,TIGER-Lab,34,0.5229,0.7141,0.5843,0.4753,0.539,0.6457,0.3437,0.5819,0.5276,0.3479,0.5618,0.4629,0.4935,0.6429,0.5162
Yi-1.5-9B-Chat,TIGER-Lab,9,0.4595,0.6667,0.5425,0.3949,0.5,0.6019,0.3323,0.4352,0.4094,0.2661,0.5248,0.4008,0.4142,0.594,0.4491
Yi-1.5-6B-Chat,TIGER-Lab,6,0.3823,0.5746,0.4766,0.3074,0.4366,0.5273,0.2683,0.3362,0.3176,0.2198,0.4145,0.3327,0.3564,0.5013,0.382
Mixtral-8x7B-Instruct-v0.1,TIGER-Lab,56,0.4327,0.6764,0.4119,0.2756,0.4439,0.5581,0.2921,0.5049,0.4462,0.3206,0.3634,0.4729,0.3988,0.6341,0.4989
Mixtral-8x7B-v0.1,TIGER-Lab,56,0.4103,0.6206,0.3752,0.288,0.4683,0.5071,0.2786,0.467,0.4751,0.2707,0.3412,0.4629,0.3718,0.6103,0.4946
Qwen1.5-7B-Chat,TIGER-Lab,7,0.2906,0.4561,0.2953,0.1943,0.3195,0.41,0.1878,0.2714,0.3018,0.198,0.3064,0.2826,0.2148,0.4524,0.3323
